trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4448682^M,0,396,52.4716796875,16.988920211791992,9,1758112644,3026,396/12,#FFA500
1_4448734^+,0,388,52.46894836425781,16.979890823364258,0,1758112634,3028,388/14,#FFA500
1_4448758^+,0,323,52.45800018310547,16.995330810546875,16,1758112639,3022,323/21,#FFA500
1_4448812^+,0,321,52.465511322021484,17.02046012878418,0,1758112629,3007,321/23,#FFA500
1_4448855^+,0,320,52.409271240234375,16.954530715942383,0,1758112644,3003,320/25,#FFA500
1_4448882^+,0,320,52.425621032714844,16.97783088684082,8,1758112644,3009,320/26,#FFA500
1_4448915^+,0,321,52.41102981567383,16.957910537719727,2,1758112644,3016,321/27,#FFA500
1_4448940^S,0,312,52.545108795166016,16.972820281982422,3,1758112624,3005,312/31,#FFA500
1_4448957^M,0,312,52.45344161987305,16.992069244384766,15,1758112644,3014,312/32,#FFA500
1_4448977^+,0,341,52.40882110595703,16.955339431762695,0,1758112639,3019,341/33,#FFA500
1_4448995^+,0,312,52.40945816040039,16.955820083618164,34,1758112644,3012,312/34,#FFA500
1_4449010^+,0,341,52.564239501953125,16.9885196685791,29,1758112644,3025,341/35,#FFA500
1_4449034^+,0,341,52.527259826660156,16.977190017700195,14,1758112644,3018,341/36,#FFA500
1_4449051^Z,0,312,52.41952133178711,16.9660701751709,5,1758112634,3010,312/38,#FFA500
1_4451535^+,0,503,52.311279296875,17.043109893798828,7,1758112629,5034,503/1,#FFA500
1_4451552^W,0,560,52.36429977416992,16.99295997619629,32,1758112644,5023,560/3,#FFA500
1_4451586^+,0,560,52.15216827392578,17.16476058959961,31,1758112639,5028,560/5,#FFA500
1_4451601,0,501,52.2216796875,17.05792999267578,0,1758112644,5098,501/6,#FFA500
1_4451612,0,501,52.259700775146484,17.075929641723633,9,1758112644,5049,501/7,#FFA500
1_4451631^M,0,560,52.30961990356445,17.063310623168945,11,1758112639,5002,560/8,#FFA500
1_4451638^+,0,501,52.38787841796875,16.967790603637695,3,1758112639,5003,501/9,#FFA500
1_4451648^+,0,511,52.39712142944336,16.95026969909668,0,1758112644,5056,511/11,#FFA500
1_4451685^K,0,512,52.38840103149414,16.967239379882812,3,1758112639,5057,512/13,#FFA500
1_4451708^+,0,512,52.34619140625,16.984149932861328,32,1758112639,5040,512/15,#FFA500
1_4451728^K,0,527,52.2863883972168,16.98777961730957,29,1758112644,5051,527/21,#FFA500
1_4451746^+,0,527,52.341678619384766,16.91762924194336,6,1758112644,5019,527/22,#FFA500
1_4451767^+,0,527,52.32244873046875,16.912979125976562,22,1758112629,5048,527/23,#FFA500
"1_4451790^S,W",0,527,52.36637878417969,16.929790496826172,0,1758112639,5017,527/24,#FFA500
1_4452691^Y+,0,401,52.40964126586914,16.98089027404785,11,1758112629,4234,401/2,#FFA500
1_4452718^Y+,0,401,52.406951904296875,17.082809448242188,4,1758112644,4210,401/4,#FFA500
1_4452772^Y+,0,401,52.4038200378418,17.05331039428711,8,1758112639,4202,401/8,#FFA500
1_4452788^Y+,0,401,52.409080505371094,16.96118927001953,1,1758112639,4201,401/10,#FFA500
"1_4452833^J,Y",0,412,52.432838439941406,17.072969436645508,6,1758112639,4044,412/14,#FFA500
1_4452986^Y+,0,405,52.4097785949707,16.954410552978516,0,1758112629,4203,405/26,#FFA500
1_4453006^Y+,0,405,52.41054916381836,17.075700759887695,12,1758112629,4131,405/28,#FFA500
1_4453021^Y+,0,405,52.403411865234375,17.05569076538086,6,1758112634,4133,405/24,#FFA500
1_4453231^Y+,0,498,52.4044189453125,17.07278060913086,15,1758112634,4041,498/42,#FFA500
"1_4453270^D,Y",0,484,52.42084884643555,17.08091926574707,1,1758112639,4007,484/46,#FFA500
1_4502847^A+,0,433,52.3449592590332,17.068450927734375,14,1758112639,4319,433/3,#FFA500
1_4502889^+,0,431,52.337440490722656,17.1653995513916,29,1758112644,4316,431/6,#FFA500
1_4502908,0,432,52.37025833129883,16.997880935668945,25,1758112644,4309,432/8,#FFA500
1_4502920^E,0,431,52.36177062988281,17.122610092163086,7,1758112639,4314,431/9,#FFA500
"1_4502963^D,L",0,488,52.296409606933594,17.194990158081055,3,1758112583,4313,488/12,#FFA500
"1_4502989^C,S",0,488,52.328800201416016,17.204120635986328,7,1758112614,4321,488/13,#FFA500
"1_4503040^E,P",0,432,52.37657928466797,16.981470108032227,4,1758112639,4320,432/16,#FFA500
1_4615126^+,0,610,52.371768951416016,16.90361976623535,0,1758112629,6059,610/1,#FFA500
1_4615148^+,0,610,52.34246063232422,16.861980438232422,15,1758112634,6058,610/2,#FFA500
1_4615168^+,0,610,52.381839752197266,16.881399154663086,0,1758112644,6057,610/4,#FFA500
1_4615202^+,0,611,52.346351623535156,16.87735939025879,9,1758112644,6142,611/11,#FFA500
1_4615242^A,0,611,52.35358810424805,16.839719772338867,14,1758112639,6068,611/12,#FFA500
1_4615275,0,611,52.3514289855957,16.88212013244629,8,1758112644,6052,611/13,#FFA500
1_4615301^+,0,611,52.34886932373047,16.859989166259766,2,1758112644,6050,611/14,#FFA500
